market,category,name,short_name
1,1,临时股,TP
4,12,郑州商品期权,OZ
5,12,大连商品期权,OD
6,12,上海商品期权,OS
7,12,中金所期权,OJ
8,12,上海股票期权,QQ
9,12,深圳股票期权,SQ
12,5,国际指数,WI
27,5,香港指数,FH
28,3,郑州商品,QZ
29,3,大连商品,QD
30,3,上海期货,QS
31,2,香港主板,KH
33,8,开放式基金,FU
34,9,货币型基金,FB
38,10,宏观指标,HG
40,11,中国概念股,CH
41,11,美股知名公司,MG
42,3,商品指数,TI
43,1,B股转H股,HB
44,1,股转系统,SB
46,11,上海黄金,SG
47,3,中金所期货,CZ
48,2,香港创业板,KG
49,2,香港基金,KT
50,3,渤海商品,BH
54,6,国债预发行,GY
56,8,阳光私募基金,TA
57,8,券商集合理财,TB
58,9,券商货币理财,TC
60,3,主力期货合约,MA
62,5,中证指数,ZZ
68,5,风控指数,TZ
70,5,扩展板块指数,UZ
73,14,德国股票,DE
74,13,美国股票,US
102,5,国证指数,GZ
